classe,Espindola_2.4G,BEATRIZ,NET 2G,#NET-CLARO-WIFI,Oi_93B7,TOPNET 99255-7919 GT SURF,ARTHUR,2G.MIMO.BEBY,GVT-53AA,CONVENIENCIA_TORTUGA,WIFI GLOBAL 227,Redmi Note 9S,Galaxy A20s6468,2313_Oi_Fibra,Araujo,A304_Oi_Fibra 2.4G,ViperNet_Salão ,Figueiredo 2.4,Salvato,CGU-V3208,70mai_Pro Plus+_8eb4,moto g(6) plus 3609,WIFI GLOBAL,NICOLAS,@Casadatapioca,Parangaricutirimirruaro,net-325,VIVO-FCA1,FARMA POPULAR,,732A_Fibra 2 G
varanda2,43,26,42,31,24,0,31,0,0,0,25,0,0,0,31,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
varanda2,44,27,37,32,22,0,25,0,0,0,19,0,0,0,31,0,0,0,0,0,0,0,31,0,19,0,0,0,0,0,0
varanda2,45,30,37,32,0,0,30,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,35,0,19,0,0,0,0,0,0
varanda2,49,26,37,30,0,0,32,0,0,0,23,0,0,0,32,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
varanda2,46,26,40,30,0,0,28,0,0,0,23,0,0,0,32,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
varanda2,44,26,41,30,0,0,26,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0
sala,59,42,33,33,31,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,56,44,37,35,29,33,32,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,55,44,31,29,24,31,26,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,66,48,34,32,29,36,25,0,0,25,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sala,50,36,27,28,29,33,28,0,0,21,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
